track_name,artist_name,danceability,energy,loudness,mode,key,speechiness,acousticness,instrumentalness,liveness,tempo,time_signature,duration_ms,source,lyrics,lyrics_missing,topic_number,topic_label,year,weeks_on_chart,chart_longevity
7 rings,Ariana Grande,778.0,317.0,"-10,732",0,1,334.0,592.0,0.0,0.0881,"140,048",4,178627,spotify,"Yeah, breakfast at Tiffany's and bottles of bubbles
Girls with tattoos who like getting in trouble
Lashes and diamonds, ATM machines
Buy myself all of my favorite things (Yeah)
Been through some bad shit, I should be a sad bitch
Who woulda thought it'd turn me to a savage?
Rather be tied up with calls and not strings
Write my own checks like I write what I sing, yeah (Yeah)

My wrist, stop watchin', my neck is flossy
Make big deposits, my gloss is poppin'
You like my hair? Gee, thanks, just bought it
I see it, I like it, I want it, I got it (Yeah)

I want it, I got it, I want it, I got it
I want it, I got it, I want it, I got it
You like my hair? Gee, thanks, just bought it
I see it, I like it, I want it, I got it (Yep)

Wearing a ring, but ain't gon' be no ""Mrs.""
Bought matching diamonds for six of my bitches
I'd rather spoil all my friends with my riches
Think retail therapy my new addiction
Whoever said money can't solve your problems
Must not have had enough money to solve 'em
They say, ""Which one?"" I say, ""Nah, I want all of 'em""
Happiness is the same price as red-bottoms

My smile is beamin' (Yeah), my skin is gleamin' (Is gleamin')
The way it shine, I know you've seen it (You've seen it)
I bought a crib just for (Just for) the closet (Closet)
Both his and hers, I want it, I got it, yeah

I want it, I got it, I want it, I got it
I want it, I got it, I want it, I got it (Baby)
You like my hair? Gee, thanks, just bought it (Oh yeah)
I see it, I like it, I want it, I got it (Yep)

Yeah, my receipts be lookin' like phone numbers
If it ain't money, then wrong number
Black card is my business card
The way it be settin' the tone for me
I don't mean to brag, but I be like, ""Put it in the bag,"" yeah
When you see them racks, they stacked up like my ass, yeah
Shoot, go from the store to the booth
Make it all back in one loop, gimme the loot
Never mind, I got the juice
Nothing but net when we shoot
Look at my neck, look at my jet
Ain't got enough money to pay me respect
Ain't no budget when I'm on the set
If I like it, then that's what I get, yeah

I want it, I got it, I want it, I got it (Oh yeah)
I want it, I got it, I want it, I got it (Oh yeah, yeah)
You like my hair? Gee, thanks, just bought it
I see it, I like it, I want it, I got it (I see, yep)",False,3.0,Party & Nightlife,2019,7,brief
Faucet Failure,Ski Mask The Slump God,935.0,552.0,"-9,373",0,10,335.0,111.0,0.0,0.0952,"99,993",4,145627,spotify,"Woah, Heh
ChaseTheMoney, ChaseTheMoney!
Bitch be for real, huh

Let's make a deal, bitch be for real
Is you off a pill? Okay
Let’s make a deal, Rumpelstiltskin (Hm)
She wanna see my purple pickle up in the wind (Okay!)
Chancletas off, bitch get in (Ayy, ayy)
And if your nigga don't like me, hit chinny-chin-chin (Huh)
Bitch, I'm hotter than a pepper, no mint (Huh)
Big stepper, no stilts, big tilt, uh
1K, bought my bitch a new kilt, uh (Yup)
New skirt, I skrrt, big drift, uh (Yup)
New grills, 10K, big lisp, uh
Diamonds dancin’ on my fist, no disc, uh
Gimme lips, rock band like KISS, uh
Remember days, me and X hittin' licks

Guantanamera, we hit a lick on your bitch
I'm a Goodfella, Maison Margiela my kick, uh
I am faucet failure, my nigga, I got drip, uh
Ashin' on your bitch, this that Pokémon trainer shit, uh
Who's this? He should be in cockpit, uh
'Cause I'm flyer than a fuckin' ostrich, uh (Okay)
On my wood, that bitch won’t give me polish, uh
I’ma put my foot up in it, sock it, uh
Who's this? He should be in cockpit, uh
’Cause I'm flyer than a fuckin' ostrich, uh
On my wood, that bitch won't give me polish, huh
I am constructor, that bitch I demolish, ayy

Yes give me, a girl from Disney
And a Happy Meal, pretty please don’t gyp me
On fries (Ketchup!), on the guys, uh-huh
McDonalds 'cause they still sellin' pies, uh-huh
Just bought a new suit, got mob ties, uh-huh
Said he want beef, pull up, Five Guys, uh-huh
Yes I'm fire, lil' different like pumpkin fries
Um, hol' up, uh, where's my weed guys? (Huh?)

Guantanamera, we hit a lick on your bitch
I'm a Goodfella, Maison Margiela my kick, uh
I am faucet failure, my nigga, I got drip, uh
Ashin' on your bitch, this that Pokémon trainer shit, uh
Who's this? He should be in cockpit, uh
'Cause I'm flyer than a fuckin' ostrich, uh
On my wood, that bitch won't give me polish, uh
I'ma put my foot up in it, sock it, uh
Who's this? He should be in cockpit, uh
'Cause I'm flyer than a fuckin' ostrich, uh
On my wood, that bitch won't give me polish, huh
I am constructor, that bitch I demolish, ayy

ChaseTheMoney, ChaseTheMoney",False,2.0,Boastful Rap Themes,2019,1,brief
Don't Start Now,Dua Lipa,794.0,793.0,"-4,521",0,11,0.0842,0.0125,0.0,0.0952,"123,941",4,183290,spotify,"If you don't wanna see me

Did a full one-eighty, crazy
Thinking 'bout the way I was
Did the heartbreak change me? Maybe
But look at where I ended up
I'm all good already
So moved on, it's scary
I'm not where you left me at all, so

If you don't wanna see me dancing with somebody
If you wanna believe that anything could stop me

Don't show up, don't come out
Don't start caring about me now
Walk away, you know how
Don't start caring about me now

Aren't you the guy who tried to
Hurt me with the word ""goodbye""?
Though it took some time to survive you
I'm better on the other side

I'm all good already
So moved on, it's scary
I'm not where you left me at all, so

If you don't wanna see me dancing with somebody
If you wanna believe that anything could stop me
(Don't, don't, don't)

Don't show up, don't come out
Don't start caring about me now
Walk away, you know how
Don't start caring about me now ('Bout me now, 'bout me)

Up, up
Don't come out, out, out
Don't show up, up, up
Don't start now (Oh)
Up, up
Don't come out, out
I'm not where you left me at all, so

If you don't wanna see me dancing with somebody
If you wanna believe that anything could stop me

Don't show up (Don't show up), don't come out (Don't come out)
Don't start caring about me now ('Bout me now)
Walk away (Walk away), you know how (You know how)
Don't start caring about me now (So)

Up, up
Don't come out, out, out
Don't show up, up, up
Walk away, walk away (So)
Up, up
Don't come out, out, out
Don't show up, up, up
Walk away, walk away, oh",False,1.0,Desire & Emotions,2020,17,sustained
Don't Start Now,Dua Lipa,794.0,793.0,"-4,521",0,11,0.0842,0.0125,0.0,0.0952,"123,941",4,183290,spotify,"If you don't wanna see me

Did a full one-eighty, crazy
Thinking 'bout the way I was
Did the heartbreak change me? Maybe
But look at where I ended up
I'm all good already
So moved on, it's scary
I'm not where you left me at all, so

If you don't wanna see me dancing with somebody
If you wanna believe that anything could stop me

Don't show up, don't come out
Don't start caring about me now
Walk away, you know how
Don't start caring about me now

Aren't you the guy who tried to
Hurt me with the word ""goodbye""?
Though it took some time to survive you
I'm better on the other side

I'm all good already
So moved on, it's scary
I'm not where you left me at all, so

If you don't wanna see me dancing with somebody
If you wanna believe that anything could stop me
(Don't, don't, don't)

Don't show up, don't come out
Don't start caring about me now
Walk away, you know how
Don't start caring about me now ('Bout me now, 'bout me)

Up, up
Don't come out, out, out
Don't show up, up, up
Don't start now (Oh)
Up, up
Don't come out, out
I'm not where you left me at all, so

If you don't wanna see me dancing with somebody
If you wanna believe that anything could stop me

Don't show up (Don't show up), don't come out (Don't come out)
Don't start caring about me now ('Bout me now)
Walk away (Walk away), you know how (You know how)
Don't start caring about me now (So)

Up, up
Don't come out, out, out
Don't show up, up, up
Walk away, walk away (So)
Up, up
Don't come out, out, out
Don't show up, up, up
Walk away, walk away, oh",False,1.0,Desire & Emotions,2022,125,sustained
hot girl bummer,blackbear,778.0,559.0,"-7,109",0,6,0.0776,128.0,0.0,399.0,"129,989",1,185093,spotify,"Fuck you, and you, and you
I hate your friends and they hate me too
I'm through, I'm through, I'm through
This that hot girl bummer anthem
Turn it up and throw a tantrum

This that hot girl bummer anthem
Turn it up and throw a tantrum
This that throw up in your Birkin bag
Hook up with someone random
This that social awkward suicide
That buy your lips and buy your likes
I swear she had a man
But shit hit different when it's Thursday night

That college dropout music
Every day leg day, she be too thick
And my friends are all annoying
But we go dumb, yeah, we go stupid
This that 10K on the table
Just so we can be secluded
And the vodka came diluted
One more line, I'm superhuman

Fuck you, and you, and you
I hate your friends and they hate me too
I'm through, I'm through, I'm through
This that hot girl bummer anthem
Turn it up and throw a tantrum
Fuck you, and you, and you
I hate your friends and they hate me too
Fuck you, and you, and you
This that hot girl bummer anthem
Turn it up and throw a tantrum

This that hot girl bummer two-step
They can't box me in, I'm too left
This that drip, it's more like oceans
They can't fit me in a Trojan
Out of pocket, but I'm always in my bag
Yeah, that's the slogan
This that, ""Who's all there?""
I'm pullin' up wit' a emo chick that's broken

This that college dropout music
Every day leg day, she be too thick
And my friends are all annoying
But we go dumb, yeah, we go stupid
This that 10K on the table
Just so we can be secluded
And the vodka came diluted
One more line, I'm superhuman

Fuck you, and you, and you
I hate your friends and they hate me too
I'm through, I'm through, I'm through
This that hot girl bummer anthem
Turn it up and throw a tantrum
Fuck you, and you, and you
I hate your friends and they hate me too
Fuck you, and you, and you
This that hot girl bummer anthem
Turn it up and throw a tantrum

This that college dropout music
Every day leg day, she be too thick
And my friends are all annoying
But we go dumb, yeah, we go stupid
This that college dropout music
Every day leg day, she be too thick
And my friends are all annoying
But we go dumb, yeah, we go stupid
We go stupid, we go stupid, we go—
And you want me to change? Fuck you!

Fuck you, and you, and you
I hate your friends and they hate me too
I'm through, I'm through, I'm through
This that hot girl bummer anthem
Turn it up and throw a tantrum
Fuck you, and you, and you
I hate your friends and they hate me too
Fuck you, and you, and you
This that hot girl bummer anthem
Turn it up and throw a tantrum",False,4.0,Relationship Conflict,2019,11,sustained
hot girl bummer,blackbear,778.0,559.0,"-7,109",0,6,0.0776,128.0,0.0,399.0,"129,989",1,185093,spotify,"Fuck you, and you, and you
I hate your friends and they hate me too
I'm through, I'm through, I'm through
This that hot girl bummer anthem
Turn it up and throw a tantrum

This that hot girl bummer anthem
Turn it up and throw a tantrum
This that throw up in your Birkin bag
Hook up with someone random
This that social awkward suicide
That buy your lips and buy your likes
I swear she had a man
But shit hit different when it's Thursday night

That college dropout music
Every day leg day, she be too thick
And my friends are all annoying
But we go dumb, yeah, we go stupid
This that 10K on the table
Just so we can be secluded
And the vodka came diluted
One more line, I'm superhuman

Fuck you, and you, and you
I hate your friends and they hate me too
I'm through, I'm through, I'm through
This that hot girl bummer anthem
Turn it up and throw a tantrum
Fuck you, and you, and you
I hate your friends and they hate me too
Fuck you, and you, and you
This that hot girl bummer anthem
Turn it up and throw a tantrum

This that hot girl bummer two-step
They can't box me in, I'm too left
This that drip, it's more like oceans
They can't fit me in a Trojan
Out of pocket, but I'm always in my bag
Yeah, that's the slogan
This that, ""Who's all there?""
I'm pullin' up wit' a emo chick that's broken

This that college dropout music
Every day leg day, she be too thick
And my friends are all annoying
But we go dumb, yeah, we go stupid
This that 10K on the table
Just so we can be secluded
And the vodka came diluted
One more line, I'm superhuman

Fuck you, and you, and you
I hate your friends and they hate me too
I'm through, I'm through, I'm through
This that hot girl bummer anthem
Turn it up and throw a tantrum
Fuck you, and you, and you
I hate your friends and they hate me too
Fuck you, and you, and you
This that hot girl bummer anthem
Turn it up and throw a tantrum

This that college dropout music
Every day leg day, she be too thick
And my friends are all annoying
But we go dumb, yeah, we go stupid
This that college dropout music
Every day leg day, she be too thick
And my friends are all annoying
But we go dumb, yeah, we go stupid
We go stupid, we go stupid, we go—
And you want me to change? Fuck you!

Fuck you, and you, and you
I hate your friends and they hate me too
I'm through, I'm through, I'm through
This that hot girl bummer anthem
Turn it up and throw a tantrum
Fuck you, and you, and you
I hate your friends and they hate me too
Fuck you, and you, and you
This that hot girl bummer anthem
Turn it up and throw a tantrum",False,4.0,Relationship Conflict,2021,78,sustained
Ride It,Regard,0.88,751.0,"-4,258",0,7,0.0874,177.0,6.43e-05,106.0,"117,948",4,157606,spotify,"Ride it, we're all alone
Ride  it, just lose control
Ride  it, ride it, come touch my soul
Ride it, ride, let me feel you
Ride it, turn the lights down low
Ride  it, from head to toe
Ride  it, ride it, touch my soul
Ride it, ride, let me feel you

It's  been a month and twenty days
And we're going 'round and 'round, playing silly games
Now you're saying, slow it down, not right now
Then ya wink at me and walk away (Yeah)
Let  it be, let it be, let it be known
Hold on, don't go
Touching and teasing me, telling me no
But this time I need to feel you

Ride it, we're all alone
Ride it, just lose control
Ride it, ride it, come touch my soul
Ride it, ride, let me feel you
Ride it, turn the lights down low
Ride it, from head to toe
Ride it, ride it, touch my soul
Ride it, ride it, let me feel you


Movida was the club on the Saturday
Ya actin' like a diva, sayin' you don't wanna pay
It's gotta be ya feisty style, raised eyebrow
I love it when you look at me that way
Now we're in, you order a mojito at the bar
You reapply lippy 'cause it came off on the glass
The DJ plays your favorite songs, Kanye's on
Now ya beckoning for me to dance

Mm, pullin' me, pullin' me, pullin' me close
Just close your eyes, girl
Whispering, tellin' me we gotta go
Won't you take me home? I wanna—

Ride it, we're all alone
Ride it, just lose control
Ride it, ride it, come touch my soul
Ride it, ride it, let me feel you
Ride it, turn the lights down low
Ride it, from head to toe
Ride it, ride it, touch my soul
Ride it, ride it, let me feel you
Ride it, we're all alone
Ride it, just lose control
Ride it, ride it, come touch my soul
Ride it, ride it, let me feel you
Ride it, turn the lights down low
Ride it, from head to toe
Ride it, ride it, touch my soul
Ride it, ride it, let me feel you


Won't you take me home? I wanna—

Ride it, we're all alone
Ride it, just lose control
Ride it, ride it, come touch my soul
Ride it, ride it, let me feel you
Ride it, turn the lights down low
Ride it, from head to toe
Ride it, ride it, touch my soul
Ride it, ride it, let me feel you",False,0.0,Love & Life Themes,2019,9,brief
Ride It,Regard,0.88,751.0,"-4,258",0,7,0.0874,177.0,6.43e-05,106.0,"117,948",4,157606,spotify,"Ride it, we're all alone
Ride  it, just lose control
Ride  it, ride it, come touch my soul
Ride it, ride, let me feel you
Ride it, turn the lights down low
Ride  it, from head to toe
Ride  it, ride it, touch my soul
Ride it, ride, let me feel you

It's  been a month and twenty days
And we're going 'round and 'round, playing silly games
Now you're saying, slow it down, not right now
Then ya wink at me and walk away (Yeah)
Let  it be, let it be, let it be known
Hold on, don't go
Touching and teasing me, telling me no
But this time I need to feel you

Ride it, we're all alone
Ride it, just lose control
Ride it, ride it, come touch my soul
Ride it, ride, let me feel you
Ride it, turn the lights down low
Ride it, from head to toe
Ride it, ride it, touch my soul
Ride it, ride it, let me feel you


Movida was the club on the Saturday
Ya actin' like a diva, sayin' you don't wanna pay
It's gotta be ya feisty style, raised eyebrow
I love it when you look at me that way
Now we're in, you order a mojito at the bar
You reapply lippy 'cause it came off on the glass
The DJ plays your favorite songs, Kanye's on
Now ya beckoning for me to dance

Mm, pullin' me, pullin' me, pullin' me close
Just close your eyes, girl
Whispering, tellin' me we gotta go
Won't you take me home? I wanna—

Ride it, we're all alone
Ride it, just lose control
Ride it, ride it, come touch my soul
Ride it, ride it, let me feel you
Ride it, turn the lights down low
Ride it, from head to toe
Ride it, ride it, touch my soul
Ride it, ride it, let me feel you
Ride it, we're all alone
Ride it, just lose control
Ride it, ride it, come touch my soul
Ride it, ride it, let me feel you
Ride it, turn the lights down low
Ride it, from head to toe
Ride it, ride it, touch my soul
Ride it, ride it, let me feel you


Won't you take me home? I wanna—

Ride it, we're all alone
Ride it, just lose control
Ride it, ride it, come touch my soul
Ride it, ride it, let me feel you
Ride it, turn the lights down low
Ride it, from head to toe
Ride it, ride it, touch my soul
Ride it, ride it, let me feel you",False,0.0,Love & Life Themes,2020,25,sustained
ROXANNE,Arizona Zervas,621.0,601.0,"-5,616",0,6,148.0,0.0522,0.0,0.46,"116,735",5,163636,spotify,"All for the 'Gram
Bitches love the 'Gram
Oh, wait, shit
Brr, brr (Ayy, yeah, yeah, yeah, ayy)
Brr, brr, brr, ayy
Skrrt skrrt
94 don't need no brakes, yeah

Roxanne, Roxanne
All she wanna do is party all night
Goddamn, Roxanne
Never gonna love me, but it's alright
She think I'm an asshole, she think I'm a player
She keep running back, though, only 'cause I pay up
Roxanne, Roxanne
All she wanna do is party all night

Met her at a party in the hills, yeah
She just wanna do it for the thrill, yeah
Shorty drive a poodle with no top (Top, top)
But if I throw this money, she gon' drop, ayy
She don't wait in lines if it's too long
She don't drive the whip unless the roof off
Only wanna call when the cash out
Only take the pic when her ass out

She from Malibu, uh, Malibu
If you ain't got a foreign, then she laugh at you, uh
Malibu, uh, Malibu
Spending daddy's money with a attitude

Roxanne (Roxanne), Roxanne (Roxanne)
All she wanna do is party all night
Goddamn (Goddamn), Roxanne (Roxanne)
Never gonna love me, but it's alright
She think I'm an asshole, she think I'm a player
She keep running back, though, only 'cause I pay up
Roxanne (Roxanne), Roxanne (Roxanne)
All she wanna do is party all night

I just wanna have fun

In LA, yeah, got no brakes, yeah
Living fast, Ricky Bobby, shake and bake, yeah (Shake and bake)
See the chain? Yeah (Woo), issa lake, yeah (Woo)
Swipe the Chase, ooh, now she wanna date, yeah
Straight to Nobu on the coast, ooh (Ooh)
Shorty only like cocaine and Whole Foods
Yeah, snappin' all up on the 'Gram, ass going crazy (Woo)
Now she wanna fuck me in the foreign, goin' 80

Up in Malibu, uh, Malibu
If you ain't got a foreign, then she laugh at you, uh
Malibu, uh, Malibu
Spending daddy's money with a attitude

Roxanne (Roxanne), Roxanne (Roxanne)
All she wanna do is party all night (All night, yeah)
Goddamn (Goddamn), Roxanne (Roxanne)
Never gonna love me, but it's alright (Alright, yeah)
She think I'm an asshole, she think I'm a player
She keep running back, though, only 'cause I pay up
Roxanne (Roxanne), Roxanne (Roxanne)
All she wanna do is party all night",False,3.0,Party & Nightlife,2019,2,brief
ROXANNE,Arizona Zervas,621.0,601.0,"-5,616",0,6,148.0,0.0522,0.0,0.46,"116,735",5,163636,spotify,"All for the 'Gram
Bitches love the 'Gram
Oh, wait, shit
Brr, brr (Ayy, yeah, yeah, yeah, ayy)
Brr, brr, brr, ayy
Skrrt skrrt
94 don't need no brakes, yeah

Roxanne, Roxanne
All she wanna do is party all night
Goddamn, Roxanne
Never gonna love me, but it's alright
She think I'm an asshole, she think I'm a player
She keep running back, though, only 'cause I pay up
Roxanne, Roxanne
All she wanna do is party all night

Met her at a party in the hills, yeah
She just wanna do it for the thrill, yeah
Shorty drive a poodle with no top (Top, top)
But if I throw this money, she gon' drop, ayy
She don't wait in lines if it's too long
She don't drive the whip unless the roof off
Only wanna call when the cash out
Only take the pic when her ass out

She from Malibu, uh, Malibu
If you ain't got a foreign, then she laugh at you, uh
Malibu, uh, Malibu
Spending daddy's money with a attitude

Roxanne (Roxanne), Roxanne (Roxanne)
All she wanna do is party all night
Goddamn (Goddamn), Roxanne (Roxanne)
Never gonna love me, but it's alright
She think I'm an asshole, she think I'm a player
She keep running back, though, only 'cause I pay up
Roxanne (Roxanne), Roxanne (Roxanne)
All she wanna do is party all night

I just wanna have fun

In LA, yeah, got no brakes, yeah
Living fast, Ricky Bobby, shake and bake, yeah (Shake and bake)
See the chain? Yeah (Woo), issa lake, yeah (Woo)
Swipe the Chase, ooh, now she wanna date, yeah
Straight to Nobu on the coast, ooh (Ooh)
Shorty only like cocaine and Whole Foods
Yeah, snappin' all up on the 'Gram, ass going crazy (Woo)
Now she wanna fuck me in the foreign, goin' 80

Up in Malibu, uh, Malibu
If you ain't got a foreign, then she laugh at you, uh
Malibu, uh, Malibu
Spending daddy's money with a attitude

Roxanne (Roxanne), Roxanne (Roxanne)
All she wanna do is party all night (All night, yeah)
Goddamn (Goddamn), Roxanne (Roxanne)
Never gonna love me, but it's alright (Alright, yeah)
She think I'm an asshole, she think I'm a player
She keep running back, though, only 'cause I pay up
Roxanne (Roxanne), Roxanne (Roxanne)
All she wanna do is party all night",False,3.0,Party & Nightlife,2020,18,sustained
